date,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,minorityInterest.1,deferredLongTermLiab,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,goodWill,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,netIncome.1,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToInventory,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,capitalExpenditures,repurchaseOfStock,company
2020-12-31,39166000000.0,,27212000000,-1497000000.0,17483000000,26329000000.0,94449000000,29811000000,29811000000,-739000000.0,-1594000000.0,,,,9589000000,232390000000,202579000000,137941000000,-2599000000,,17623000000,17483000000,4805000000.0,24731000000.0,186353000000.0,86674000000.0,-1497000000.0,3857000000.0,43018000000.0,271530000000.0,16672000000.0,1978000000.0,47960000000.0,42711000000.0,34945000000.0,-2689000000.0,31374000000.0,43612000000.0,114320000000.0,26296000000.0,5369000000.0,-2689000000.0,21363000000.0,149795000000.0,29248000000.0,46924000000.0,6820000000.0,67431000000.0,22218000000.0,28097000000.0,31988000000.0,-1416000000.0,3743000000,-15201000000,-6660000000.0,-12492000000.0,-4547000000.0,163000000.0,17483000000,-1467000000,-2707000000.0,28933000000,7072000000.0,801000000.0,-4985000000.0,384000000.0,-3185000000.0,-1010000000.0,7077000000.0,-4415000000.0,,ERIBR.HE
2019-12-31,38435000000.0,,8762000000,-681000000.0,2223000000,25658000000.0,85161000000,21983000000,21983000000,-178000000.0,-1943000000.0,,,,6922000000,227216000000,205233000000,142055000000,-13221000000,,1840000000,2223000000,2491000000.0,24731000000.0,194505000000.0,82559000000.0,-681000000.0,4040000000.0,43128000000.0,276383000000.0,16672000000.0,554000000.0,38864000000.0,41834000000.0,31200000000.0,2292000000.0,37476000000.0,45079000000.0,116819000000.0,31174000000.0,8111000000.0,2292000000.0,22337000000.0,153914000000.0,28965000000.0,48868000000.0,6759000000.0,69241000000.0,28257000000.0,30863000000.0,30403000000.0,4164000000.0,-1951000000,-3541000000,-2615000000.0,-6900000000.0,-6498000000.0,197000000.0,2223000000,6690000000,258000000.0,16873000000,7080000000.0,-331000000.0,-3301000000.0,261000000.0,10995000000.0,-1181000000.0,3244000000.0,-5037000000.0,,ERIBR.HE
2018-12-31,37362000000.0,,-1463000000,792000000.0,-6530000000,26711000000.0,74138000000,9964000000,9964000000,-319000000.0,-1430000000.0,,,,4813000000,210838000000,200874000000,136700000000,-11427000000,,-6276000000,-6530000000,3474000000.0,24731000000.0,180991000000.0,86978000000.0,792000000.0,4237000000.0,78776000000.0,268761000000.0,16672000000.0,,44610000000.0,39207000000.0,30035000000.0,965000000.0,28569000000.0,38389000000.0,110914000000.0,23152000000.0,2255000000.0,965000000.0,12849000000.0,161167000000.0,32667000000.0,53469000000.0,6625000000.0,86898000000.0,30870000000.0,29255000000.0,29883000000.0,1951000000.0,6861000000,-4132000000,-837000000.0,-4077000000.0,13014000000.0,107000000.0,-6530000000,2505000000,1372000000.0,9342000000,4662000000.0,-523000000.0,-3287000000.0,-4807000000.0,-2047000000.0,-60000000.0,863000000.0,-3975000000.0,,ERIBR.HE
2017-12-31,32980000000.0,,-35958000000,636000000.0,-32576000000,26426000000.0,53169000000,-9218000000,-9218000000,-668000000.0,-1144000000.0,,,,-3525000000,205378000000,214596000000,152209000000,-26740000000,,-32433000000,-32576000000,4148000000.0,24731000000.0,162311000000.0,96935000000.0,636000000.0,4593000000.0,70664000000.0,259882000000.0,16672000000.0,,55866000000.0,32282000000.0,27815000000.0,-334000000.0,28734000000.0,35884000000.0,99529000000.0,21963000000.0,2545000000.0,-334000000.0,12857000000.0,153423000000.0,32905000000.0,64972000000.0,6713000000.0,85279000000.0,30500000000.0,25547000000.0,26320000000.0,-11699000000.0,11059000000,-16070000000,8586000000.0,5478000000.0,9702000000.0,113000000.0,-32576000000,-1082000000,-91000000.0,9601000000,5770000000.0,-463000000.0,-3273000000.0,4719000000.0,1379000000.0,67000000.0,11016000000.0,-3877000000.0,-15000000.0,ERIBR.HE
2020-12-31,,,1224200000,22600000.0,939200000,3805100000.0,5268000000,1250500000,1250500000,-26600000.0,-23300000.0,,,,276900000,9938500000,8688000000,4670500000,-26300000,,947300000,939200000,223200000.0,100300000.0,5594800000.0,3174600000.0,22600000.0,,2797600000.0,8792000000.0,66200000.0,170000000.0,2911200000.0,317600000.0,1327000000.0,96900000.0,265900000.0,457900000.0,5033200000.0,242400000.0,160000000.0,261500000.0,706800000.0,6125900000.0,143200000.0,1624400000.0,2170300000.0,2576400000.0,,597000000.0,890900000.0,,0,-109800000,-134100000.0,-1624500000.0,455600000.0,,939200000,-204500000,-20400000.0,1550200000,239000000.0,,-880500000.0,,,-609900000.0,-83600000.0,-88000000.0,,KNEBV.HE
2019-12-31,,,1217500000,20000000.0,931300000,3754600000.0,5214400000,1237400000,1237400000,-19100000.0,-18900000.0,,,,278900000,9981800000,8744400000,4767400000,-19900000,,938600000,931300000,248200000.0,100300000.0,5420400000.0,3172900000.0,20000000.0,,2677800000.0,8613300000.0,66200000.0,113500000.0,2873000000.0,365000000.0,1366500000.0,133400000.0,319200000.0,662400000.0,4628300000.0,292300000.0,,318500000.0,737800000.0,5802400000.0,139200000.0,1558200000.0,1587700000.0,2654300000.0,160000000.0,648600000.0,809800000.0,,0,-121800000,-134100000.0,-1134700000.0,115700000.0,37500000.0,931300000,26400000,13200000.0,1269700000,241500000.0,,-851700000.0,,,-186400000.0,-18800000.0,-98000000.0,,KNEBV.HE
2018-12-31,,,1087100000,16000000.0,840800000,3508500000.0,4717300000,1112000000,1112000000,-22100000.0,-8500000.0,,,,241900000,9070700000,7958700000,4353400000,-24900000,,845200000,840800000,260200000.0,100300000.0,4653400000.0,3064600000.0,16000000.0,,2400700000.0,7734000000.0,66000000.0,124200000.0,2840000000.0,334800000.0,1333400000.0,58300000.0,289700000.0,636000000.0,4124800000.0,253700000.0,,261600000.0,391500000.0,5315900000.0,143300000.0,1471000000.0,1404200000.0,2389500000.0,160100000.0,624100000.0,786700000.0,,0,-121100000,-35300000.0,-709200000.0,-11200000.0,23100000.0,840800000,139400000,-100000.0,969800000,118900000.0,18700000.0,-849200000.0,,,152200000.0,21300000.0,-113600000.0,,KNEBV.HE
2017-12-31,,,1250400000,15000000.0,955800000,3407800000.0,4703800000,1205500000,1205500000,-23800000.0,8200000.0,,,,290200000,8796700000,7591200000,4092900000,44900000,,960200000,955800000,274500000.0,100300000.0,4433000000.0,3013900000.0,15000000.0,,2288900000.0,7461900000.0,65900000.0,109900000.0,2862700000.0,338400000.0,1325500000.0,-15000000.0,281500000.0,496500000.0,3899900000.0,263300000.0,,202800000.0,371000000.0,5075000000.0,134400000.0,1413900000.0,1566000000.0,2153700000.0,160100000.0,626800000.0,705100000.0,,0,-143500000,-33200000.0,-891700000.0,-43300000.0,24900000.0,955800000,-92600000,-21100000.0,963700000,114300000.0,100000.0,-795400000.0,,,-88000000.0,-63100000.0,-109500000.0,,KNEBV.HE
2020-12-31,,,786000000,4000000.0,712000000,439000000.0,2387000000,1060000000,1060000000,375000000.0,-42000000.0,,,,72000000,10357000000,9297000000,7970000000,-274000000,,714000000,712000000,144000000.0,,3886000000.0,5925000000.0,4000000.0,,660000000.0,9815000000.0,40000000.0,279000000.0,5906000000.0,589000000.0,120000000.0,-21000000.0,100000000.0,1552000000.0,2247000000.0,35000000.0,143000000.0,-14000000.0,4477000000.0,4886000000.0,88000000.0,5661000000.0,20000000.0,1206000000.0,761000000.0,1829000000.0,1227000000.0,-35000000.0,-99000000,-1039000000,-177000000.0,-961000000.0,,,712000000,59000000,2000000.0,2057000000,513000000.0,-66000000.0,-783000000.0,-176000000.0,735000000.0,-1000000.0,372000000.0,-727000000.0,,NESTE.HE
2019-12-31,,,2067000000,2000000.0,1788000000,474000000.0,3495000000,2219000000,2219000000,275000000.0,-46000000.0,,,,278000000,14362000000,12143000000,10867000000,-152000000,,1789000000,1788000000,119000000.0,,3872000000.0,5919000000.0,2000000.0,,563000000.0,9793000000.0,40000000.0,237000000.0,5975000000.0,481000000.0,16000000.0,-96000000.0,103000000.0,1493000000.0,2311000000.0,40000000.0,140000000.0,-89000000.0,4187000000.0,5341000000.0,27000000.0,5784000000.0,19000000.0,1914000000.0,763000000.0,1678000000.0,1403000000.0,-35000000.0,204000000,-302000000,-213000000.0,-797000000.0,,,1788000000,357000000,2000000.0,1456000000,491000000.0,121000000.0,-583000000.0,-197000000.0,-787000000.0,-1000000.0,-43000000.0,-522000000.0,,NESTE.HE
