,Current PE Ratio
ERIBR.HE,
KNEBV.HE,39.303867
NESTE.HE,49.127155
NDA-FI.HE,15.62909
SAMPO.HE,602.5373
FORTUM.HE,10.882927
NOKIA.HE,
UPM.HE,29.885715
TELIA1.HE,29.0
STEAV.HE,22.72152
STERV.HE,20.949366
KESKOB.HE,23.44954
KESKOA.HE,21.605503
ELISA.HE,24.099562
MOCORP.HE,51.743313
SSABAH.HE,13.051724
SSABBH.HE,11.933908
WRT1V.HE,40.00885
ORNAV.HE,23.397436
ORNBV.HE,22.557692
VALMT.HE,21.103897
TYRES.HE,50.04839
KOJAMO.HE,13.593996
HUH1V.HE,22.822485
METSB.HE,20.083683
METSA.HE,20.083683
TIETO.HE,34.461155
KCR.HE,24.727274
CGCBV.HE,362.38095
SAA1V.HE,9.6679945
QTCOM.HE,196.47058
OUT1V.HE,
AM1.HE,22.769232
KEMIRA.HE,15.832363
NELES.HE,0.75806236
TTALO.HE,34.055553
TIK1V.HE,34.948456
UPONOR.HE,16.247932
REG1V.HE,107.07172
CTY1S.HE,
FSKRS.HE,19.662243
TOKMAN.HE,16.809917
VAIAS.HE,36.043953
PON1V.HE,32.739132
FIA1S.HE,
OLVAS.HE,24.91067
YIT.HE,36.403225
MUSTI.HE,62.521008
ENENTO.HE,43.82716
ALMA.HE,8.154121
EQV1V.HE,31.866667
CAV1V.HE,115.86956
AKTIA.HE,16.819672
RAIVV.HE,28.05369
RAIKV.HE,27.919462
FSC1V.HE,51.5625
HARVIA.HE,38.65854
KAMUX.HE,24.379313
LAT1V.HE,28.88
BAS1V.HE,
REMEDY.HE,53.738316
TNOM.HE,54.818184
ROVIO.HE,16.381733
SCANFL.HE,13.824562
ADMCM.HE,71.73274
NANOFH.HE,
TALLINK.HE,
ALBAV.HE,13.762376
ALBBV.HE,12.722773
ETTE.HE,23.580788
CAPMAN.HE,81.21212
VERK.HE,28.437502
MEKKO.HE,30.465527
OKDAV.HE,37.833332
ALTIA.HE,22.231237
EVLI.HE,19.48276
OKDBV.HE,35.333332
OMASP.HE,11.778847
DETEC.HE,56.38298
ATRAV.HE,15.333333
SUY1V.HE,10.961538
GOFORE.HE,44.08163
RELAIS.HE,44.375
SITOWS.HE,0.90758044
ASPO.HE,23.714287
RAP1V.HE,196.00002
TAALA.HE,21.911112
PIHLIS.HE,30.414507
BITTI.HE,110.327866
HKSAV.HE,
DIGIA.HE,20.769232
FARON.HE,
HEALTH.HE,
TEM1V.HE,12.82
TITAN.HE,21.216215
VIK1V.HE,
LEHTO.HE,
KSLAV.HE,7.777777
ORTHEX.HE,0.46141934
SRV1V.HE,
NOHO.HE,
ICP1V.HE,13.001486
ILK2S.HE,44.827587
LEADD.HE,647.5
EEZY.HE,51.296295
UNIAV.HE,21.949154
SIILI.HE,28.394278
ILK1S.HE,48.275864
VINCIT.HE,28.055555
ROBIT.HE,
EXL1V.HE,20.0
SOLTEQ.HE,51.0
SSH1V.HE,
CONSTI.HE,19.565218
ESENSE.HE,
TLT1V.HE,
RAUTE.HE,
BOREO.HE,55.27192
STCBV.HE,
STCAS.HE,
EFECTE.HE,
APETIT.HE,26.086958
PUMU.HE,
OPTOMED.HE,
PARTNE1.HE,87.4074
SIEVI.HE,8.235294
IFA1V.HE,41.59575
GLA1V.HE,
NIXU.HE,
NXTGMS.HE,
VIAFIN.HE,23.816156
SOSI1.HE,
FODELIA.HE,87.954544
AFAGR.HE,
NLG1V.HE,
EAB.HE,202.22224
SAGCV.HE,
AALLON.HE,43.77359
DOV1V.HE,24.937498
HONBS.HE,14.958333
BILOT.HE,
PNA1V.HE,
ELEAV.HE,39.807693
OVARO.HE,
ENDOM.HE,
INVEST.HE,
UUTEC.HE,21.85185
DIGIGR.HE,
BIOBV.HE,
HEEROS.HE,1416.0
FONDIA.HE,35.809525
VALOE.HE,
CTH1V.HE,
NXTMH.HE,
AVIDLY.HE,
ACG1V.HE,
HRTIS.HE,
AHOLA.HE,9.259259
QPR1V.HE,
BONEH.HE,
WUF1V.HE,9.59375
REKA.HE,23.3125
FELLOW.HE,
TULAV.HE,100.333336
LOUD.HE,
KELAS.HE,49.44444
TRH1V.HE,
MARAS.HE,
SAVOH.HE,
SOPRA.HE,
NORDID.HE,
PIIPPO.HE,27.323944
RUSH.HE,
PRIVA.HE,
ENEDO.HE,
NXTMHN0121.HE,
KREATE.HE,
