company,BVPS
PARTNE1.HE,71966.67460731891
OVARO.HE,265.7079207920792
NDA-FI.HE,169.26168829835385
MEKKO.HE,130.23761184801788
KOJAMO.HE,128.70197061153144
ROVIO.HE,106.60939605057189
REMEDY.HE,80.31765401311536
ERIBR.HE,79.37388296206078
KNEBV.HE,63.82247170541927
ASPO.HE,60.33527271359354
NANOFH.HE,31.05700028997823
RELAIS.HE,21.118894207500016
APETIT.HE,20.476233425840274
SCANFL.HE,18.81414957380582
TYRES.HE,14.805591189646641
KAMUX.HE,14.7
GOFORE.HE,13.642985149966181
ICP1V.HE,9.764490059132296
RAP1V.HE,9.681648515780795
NORDID.HE,8.997787202514232
ALBAV.HE,7.384663707158612
ALBBV.HE,7.384663707158612
CAV1V.HE,7.339728496402537
ESENSE.HE,7.131937727431043
FONDIA.HE,6.288272159164966
HARVIA.HE,5.074050141265842
GLA1V.HE,4.8018712786799105
OLVAS.HE,4.755778509999903
ALTIA.HE,4.627766820074513
RAUTE.HE,4.400454342004386
SIEVI.HE,4.299746473257495
FIA1S.HE,3.7628482255855085
CTH1V.HE,3.664945569756076
PNA1V.HE,3.626706143841764
ACG1V.HE,3.318306847002034
REG1V.HE,3.304462911355218
AKTIA.HE,3.299244317045805
ORTHEX.HE,3.043779702410406
CTY1S.HE,2.934832187354042
YIT.HE,2.8010214598205394
EVLI.HE,2.6505136639280042
LEHTO.HE,2.6336660077178946
SAA1V.HE,2.585059978189749
AALLON.HE,2.3723860929967153
BIOBV.HE,2.358710883247784
ADMCM.HE,2.2274867505866394
FELLOW.HE,2.170081531317606
TNOM.HE,2.1231252909221316
SOSI1.HE,2.0787808892451936
OMASP.HE,2.0399276013505037
EQV1V.HE,2.0370286972543665
VINCIT.HE,1.9147470896546195
BILOT.HE,1.8964724256879872
HKSAV.HE,1.8115206536334945
SOLTEQ.HE,1.7344652858031826
UNIAV.HE,1.7241863218624138
VIAFIN.HE,1.6883605117498373
UUTEC.HE,1.633999570169783
INVEST.HE,1.5451063829787235
SRV1V.HE,1.5277284529229616
CAPMAN.HE,1.525283252985236
NIXU.HE,1.4788613365198777
TITAN.HE,1.465552468655318
NOHO.HE,1.4454704793351627
QTCOM.HE,1.4436967761577137
SITOWS.HE,1.3389003272356244
AM1.HE,1.28556085851853
PRIVA.HE,1.2784949653229023
EEZY.HE,1.2415100258299185
DIGIA.HE,1.2188532668560497
DOV1V.HE,1.188619108542175
MUSTI.HE,1.1458395893022244
TTALO.HE,1.14018458468446
ROBIT.HE,1.1382485166370766
FODELIA.HE,1.0992225344360564
IFA1V.HE,1.0690081271599332
NOKIA.HE,1.035835822008502
CONSTI.HE,1.0076734094916635
AVIDLY.HE,1.0045175637950683
EAB.HE,0.9931586333459276
STCBV.HE,0.9587226041616582
STCAS.HE,0.9587226041616582
SOPRA.HE,0.9182904364473096
OPTOMED.HE,0.8391780734844915
NXTGMS.HE,0.8327957744977755
TEM1V.HE,0.7086859261996422
RUSH.HE,0.7057506953133196
LOUD.HE,0.5948090547830621
LEADD.HE,0.5643031486820368
HEEROS.HE,0.47980586726876856
EFECTE.HE,0.47138565473624355
SSH1V.HE,0.4169661996525778
BONEH.HE,0.3500898494541322
NLG1V.HE,0.18379163979013685
SAVOH.HE,0.10464890022290271
DIGIGR.HE,0.08165434930454692
HRTIS.HE,0.08006265877725895
NXTMH.HE,0.02681037054812806
NXTMHN0121.HE,0.02681037054812806
FARON.HE,-0.014638756111371543
HONBS.HE,-0.18321054672353626
ENEDO.HE,-0.254466593253621
VALOE.HE,-0.3427896191541447
ENDOM.HE,-0.5916046134246369
MOCORP.HE,-0.6485355648535565
AFAGR.HE,
AHOLA.HE,
ALMA.HE,
ATRAV.HE,
BAS1V.HE,
BITTI.HE,
BOREO.HE,
CGCBV.HE,
DETEC.HE,
ELEAV.HE,
ELISA.HE,
ENENTO.HE,
ETTE.HE,
EXL1V.HE,
FORTUM.HE,
FSC1V.HE,
FSKRS.HE,
HUH1V.HE,
ILK1S.HE,
ILK2S.HE,
KCR.HE,
KELAS.HE,
KEMIRA.HE,
KESKOA.HE,
KESKOB.HE,
KSLAV.HE,
LAT1V.HE,
MARAS.HE,
METSA.HE,
METSB.HE,
NELES.HE,
NESTE.HE,
OKDAV.HE,
OKDBV.HE,
ORNAV.HE,
ORNBV.HE,
OUT1V.HE,
PIHLIS.HE,
PIIPPO.HE,
PON1V.HE,
PUMU.HE,
QPR1V.HE,
RAIKV.HE,
RAIVV.HE,
REKA.HE,
SAGCV.HE,
SAMPO.HE,
SIILI.HE,
SSABAH.HE,
SSABBH.HE,
STEAV.HE,
STERV.HE,
SUY1V.HE,
TAALA.HE,
TELIA1.HE,
TIETO.HE,
TIK1V.HE,
TLT1V.HE,
TOKMAN.HE,
TRH1V.HE,
TULAV.HE,
UPM.HE,
UPONOR.HE,
VAIAS.HE,
VALMT.HE,
VERK.HE,
VIK1V.HE,
WRT1V.HE,
WUF1V.HE,
