company,DERatio
TITAN.HE,0.1187894138029682
BIOBV.HE,0.16278642064013715
SIEVI.HE,0.2000204996552158
RAIKV.HE,0.22452516388738872
RAIVV.HE,0.22452516388738872
DIGIGR.HE,0.2439392885961863
ADMCM.HE,0.24561282056386588
PARTNE1.HE,0.2663387414130332
BITTI.HE,0.28645727048397174
EQV1V.HE,0.28707079095858384
ROVIO.HE,0.2956527500155984
REMEDY.HE,0.303180453846716
LOUD.HE,0.3129043352750193
AALLON.HE,0.3602275119996341
DETEC.HE,0.3738186515752382
TYRES.HE,0.3852040097111362
ENEDO.HE,0.39253298881575427
ILK2S.HE,0.4148078028464204
ILK1S.HE,0.4148078028464204
REG1V.HE,0.4402069969243721
NXTGMS.HE,0.4561270031622009
ORNAV.HE,0.4726213667025987
ORNBV.HE,0.4726213667025987
UPM.HE,0.49018596432391165
TRH1V.HE,0.49877337186973225
OLVAS.HE,0.5497073786442316
UNIAV.HE,0.5819001620918436
APETIT.HE,0.5819413342831445
VINCIT.HE,0.5927663711668311
ACG1V.HE,0.5964297837871952
FSKRS.HE,0.6054857264448805
SSABBH.HE,0.606295073019178
SSABAH.HE,0.606295073019178
FONDIA.HE,0.6700764376692847
VAIAS.HE,0.7106703488975052
NESTE.HE,0.7213532976945842
EAB.HE,0.7461754323338093
CAPMAN.HE,0.7483036415552974
METSA.HE,0.7485764315529886
METSB.HE,0.7485764315529886
VIAFIN.HE,0.7506232977751415
GOFORE.HE,0.7898676813670067
ENENTO.HE,0.7945612362488998
DOV1V.HE,0.7999328310988013
BILOT.HE,0.837610911402899
PON1V.HE,0.8856960734054153
MEKKO.HE,0.9071083192520575
KAMUX.HE,0.9095773955701484
RAP1V.HE,0.9259973159172155
RUSH.HE,0.934264278123196
UUTEC.HE,0.9426967157182415
SSH1V.HE,0.9557452546994332
STERV.HE,0.9675229469120257
STEAV.HE,0.9675229469120257
INVEST.HE,0.9807780144512406
DIGIA.HE,0.9863187073438497
ELEAV.HE,0.9961011068753605
PUMU.HE,0.9991418838225627
ICP1V.HE,1.0160200140806777
ROBIT.HE,1.0211179748736958
ALMA.HE,1.0326227903857736
RAUTE.HE,1.0612795460565796
TAALA.HE,1.0676155218849845
SAGCV.HE,1.0920741806294798
PIIPPO.HE,1.0925688494517218
VIK1V.HE,1.0988216989782889
TLT1V.HE,1.1004781923251803
SCANFL.HE,1.1130747902406934
CTY1S.HE,1.1156414413936269
ATRAV.HE,1.1603069794839227
OVARO.HE,1.1826702141711576
BAS1V.HE,1.2385914581753392
QTCOM.HE,1.2421732090856956
ENDOM.HE,1.2628984805728174
HONBS.HE,1.2651611468970512
KOJAMO.HE,1.2694379683210224
TTALO.HE,1.2845196035806892
OUT1V.HE,1.2894355483790494
BOREO.HE,1.2907736616865533
KEMIRA.HE,1.3264577623021423
SUY1V.HE,1.3321007186870912
PRIVA.HE,1.3353587931824267
SOSI1.HE,1.3374872122386996
TIETO.HE,1.3467664927419494
KSLAV.HE,1.3607975573454811
OPTOMED.HE,1.3688505739948384
NIXU.HE,1.3784733184062956
SOPRA.HE,1.3798818042492638
FORTUM.HE,1.3905126952507376
RELAIS.HE,1.4124218671775275
SIILI.HE,1.418583005573633
IFA1V.HE,1.4297255493288545
MUSTI.HE,1.4401722282760092
NELES.HE,1.4411026908652782
WUF1V.HE,1.449960435296369
SAVOH.HE,1.4563065347104076
ELISA.HE,1.4671937897136902
ETTE.HE,1.5044718421740897
TIK1V.HE,1.5060187770036488
UPONOR.HE,1.509537533633529
AHOLA.HE,1.5527413059104433
KELAS.HE,1.5629671912909733
AM1.HE,1.59615912058344
WRT1V.HE,1.603299850502929
QPR1V.HE,1.6053839434057295
HUH1V.HE,1.6149697409673938
KNEBV.HE,1.614998586505743
NOKIA.HE,1.6404172020622765
AVIDLY.HE,1.6560702658294333
MOCORP.HE,1.6645779260977616
CGCBV.HE,1.761596278309508
ALTIA.HE,1.7687365099479833
GLA1V.HE,1.8233678583130755
LAT1V.HE,1.829649040841013
TELIA1.HE,1.8340864940213386
CTH1V.HE,1.8789808855224064
HEEROS.HE,1.8822768283694982
AFAGR.HE,1.8845050966331214
TNOM.HE,1.9253053374399305
KESKOA.HE,1.925745693250151
KESKOB.HE,1.925745693250151
EFECTE.HE,1.9264182560076613
EXL1V.HE,1.9307481267624587
FSC1V.HE,1.9556280416218554
HARVIA.HE,1.9791528517465693
KCR.HE,1.9887444020846239
HKSAV.HE,1.992564770798068
FELLOW.HE,2.010924746297067
SOLTEQ.HE,2.016671921865636
SAA1V.HE,2.02037269607213
LEHTO.HE,2.065067017457501
ERIBR.HE,2.0653275848792285
SITOWS.HE,2.0688910514529257
ASPO.HE,2.2572582817608713
VALMT.HE,2.282434954696368
TOKMAN.HE,2.290630883530099
MARAS.HE,2.3103273518080174
YIT.HE,2.5423764222654337
PIHLIS.HE,2.5674412973995766
FODELIA.HE,2.6269249096076908
STCAS.HE,2.7319978627139916
STCBV.HE,2.7319978627139916
FIA1S.HE,2.8039384682642017
TULAV.HE,2.883356638612125
CONSTI.HE,3.1332514065582355
ESENSE.HE,3.145932537161957
NOHO.HE,3.1995323667553173
SAMPO.HE,3.226073437537654
PNA1V.HE,3.268208534222193
SRV1V.HE,3.2942399842725703
VERK.HE,3.294395625032603
ORTHEX.HE,3.703085603720874
CAV1V.HE,4.2177330128807835
OKDAV.HE,4.822332396716231
OKDBV.HE,4.822332396716231
LEADD.HE,4.864709027690822
