,DE Ratio,Current Ratio,ROI,Revenue CAGR,EPS CAGR,BVPS,FCF CAGR,Current EPS,Current PE Ratio,Points
ROVIO.HE,0.2956527500155984,3.9021550935383886,28.017910523241248,2.136985684128013,-0.3774231697196552,106.60939605057187,0.8864822411897906,0.4270000005493924,16.381732999999997,778.0
TYRES.HE,0.3852040097111362,3.37457643405737,13.996339782503009,0.5737056413806598,0.30741276976268983,14.80559118964664,,0.6199999640348072,50.048390000000005,754.0
VINCIT.HE,0.5927663711668311,2.0169955383488056,15.015854618671154,0.4775531605805286,0.4516048655821827,1.9147470896546197,0.8553917280514299,0.360000007128713,28.055555,742.0
REMEDY.HE,0.303180453846716,6.639940867067661,30.069909522196994,-0.4622980930719837,-0.025216553674313413,80.31765401311536,-0.3561971622434169,0.8560000279874792,53.738316000000005,701.0
ADMCM.HE,0.2456128205638659,4.0469924178480765,85.32320760627073,-0.5326934766799298,0.04332500301343623,2.22748675058664,-0.2803019058818935,1.3620001131979622,71.73274,699.0
VIAFIN.HE,0.7506232977751415,1.717368911650016,,0.4898312840769034,0.16274261692269554,1.6883605117498373,1.059375949941343,0.7179999996640937,23.816156,683.0
DETEC.HE,0.3738186515752382,3.3178340211021364,27.644784449037576,-0.04932648858797728,0.2861755269020454,,0.1550019950786301,0.4699999893584908,56.38298,677.0
KAMUX.HE,0.9095773955701484,3.353812824239254,13.337392276343872,0.693201316023113,,14.7,0.090428871228454,0.5799999368316899,24.379313,668.0
FONDIA.HE,0.6700764376692847,2.6682628424685486,25.515647396683093,-0.06360165245922178,0.1781547465274247,6.288272159164967,0.10726188174108996,0.20999999301861724,35.809525,668.0
APETIT.HE,0.5819413342831445,1.7740289876100657,,0.6461128422895897,,20.476233425840274,0.8094701240627209,0.5059999713266683,26.086958,664.0
SCANFL.HE,1.1130747902406934,1.8148999473175829,9.93450800980932,12.43466273232754,,18.81414957380582,1.0845360684370795,0.5699999754060924,13.824562,659.0
RAIKV.HE,0.22452516388738872,4.478419568270526,,0.5722294562379451,-0.045844603546152496,,0.7977645193760301,0.14900000580240408,27.919462,650.0
NESTE.HE,0.7213532976945842,2.0312080337168683,13.530672507588616,-0.040701039251898274,0.1545249243724116,,0.2179296334107539,0.9280000032568546,49.127155,648.0
RAP1V.HE,0.9259973159172156,2.0012312172671383,,0.4041083932008964,,9.681648515780797,0.9795343764518047,0.03999999591836776,196.00002,645.0
GOFORE.HE,0.7898676813670067,2.2189674247893607,17.143300692888964,-0.009296096032569756,0.029393904607832644,13.642985149966181,-0.32730322449066085,0.4900000294907426,44.08163,642.0
ORNAV.HE,0.4726213667025987,3.112460965303256,27.66385809669231,0.014149969186322497,0.021244643151812515,,0.04073233760751749,1.559999993161644,23.397436,641.0
ENENTO.HE,0.7945612362488998,1.9677985046141224,,0.5449381404180551,0.06222021371764019,,0.16301357283917306,0.8100000091267607,43.82716,622.0
BITTI.HE,0.2864572704839717,3.69600110711571,,0.9792012398306412,,,0.22306331281522995,0.06100000157711743,110.32786599999999,612.0
ICP1V.HE,1.0160200140806777,1.9544035550199432,16.93771230229235,0.4194813247513045,,9.764490059132298,0.055374881017403066,2.018999982002057,13.001486,611.0
KNEBV.HE,1.6149985865057432,1.2652144642212724,12.16669058843621,0.04151857619918986,0.018805289343282402,63.822471705419275,0.15140670068825268,1.8100000185732363,39.303867,606.0
ORNBV.HE,0.4726213667025987,3.112460965303256,27.66385809669231,-0.2935623210005768,0.08827830830800809,,-0.004855888627678717,1.5600000212787726,22.557692000000003,605.0
SIEVI.HE,0.2000204996552158,42.042035477617524,18.482810344117148,-0.2575033749148773,,4.299746473257495,0.4788381250054017,0.17000000242857147,8.235294,601.0
UPM.HE,0.4901859643239117,2.3237817168637176,7.930420381580647,-0.050085748407003534,0.1372901585952886,,0.0030324837786286363,1.0499999749043982,29.885715,599.0
UPONOR.HE,1.509537533633529,1.7387097083539198,9.297991240710783,2.4776825979329677,-0.07935123699545044,,2.0853649892037143,1.2100001403255505,16.247932000000002,597.0
REG1V.HE,0.4402069969243721,3.445481539488381,39.89913657653293,-0.4336456931017693,-0.11864978871554654,3.3044629113552184,,0.5019999678720021,107.07172,592.0
YIT.HE,2.5423764222654337,1.4970957083280343,,2.7938860422764313,0.3181562859894109,2.8010214598205394,0.4631699529717561,0.12400000274700936,36.403225,591.0
RAIVV.HE,0.22452516388738872,4.478419568270526,,0.11228891037999532,0.004371551572593725,,0.17380338854750188,0.14900000677272754,28.053690000000003,591.0
